Race,Position,Driver,Team
German Grand Prix,28,Josef Peters,Veritas
German Grand Prix,29,Piero Carini,Ferrari
German Grand Prix,30,Gino Bianco,Maserati
Dutch Grand Prix,1,Alberto Ascari,Ferrari
Dutch Grand Prix,2,Nino Farina,Ferrari
Dutch Grand Prix,3,Luigi Villoresi,Ferrari
Dutch Grand Prix,4,Mike Hawthorn,Cooper
Dutch Grand Prix,5,Robert Manzon,Gordini
Dutch Grand Prix,6,Maurice Trintignant,Gordini
Dutch Grand Prix,7,Duncan Hamilton,HWM
Dutch Grand Prix,8,Lance Macklin,HWM
Dutch Grand Prix,9,Chico Landi,Maserati
Dutch Grand Prix,9,Jan Flinterman,Maserati
Dutch Grand Prix,10,Ken Wharton,Frazer Nash
Dutch Grand Prix,11,Stirling Moss,ERA
Dutch Grand Prix,12,Dries van der Lof,HWM
Dutch Grand Prix,13,Ken Downing,Connaught
Dutch Grand Prix,14,Charles de Tornaco,Ferrari
Dutch Grand Prix,15,Paul Frère,Simca
Dutch Grand Prix,16,Jean Behra,Gordini
Dutch Grand Prix,17,Jan Flinterman,Maserati
Dutch Grand Prix,18,Gino Bianco,Maserati
Italian Grand Prix,1,Alberto Ascari,Ferrari
Italian Grand Prix,2,José Froilán González,Maserati
Italian Grand Prix,3,Luigi Villoresi,Ferrari
Italian Grand Prix,4,Nino Farina,Ferrari
Italian Grand Prix,5,Felice Bonetto,Maserati
Italian Grand Prix,6,André Simon,Ferrari
Italian Grand Prix,7,Piero Taruffi,Ferrari
Italian Grand Prix,8,Chico Landi,Maserati
Italian Grand Prix,9,Ken Wharton,Cooper
Italian Grand Prix,10,Louis Rosier,Ferrari
Italian Grand Prix,11,Eitel Cantoni,Maserati
Italian Grand Prix,12,Dennis Poore,Connaught
Italian Grand Prix,13,Eric Brandon,Cooper
Italian Grand Prix,14,Robert Manzon,Gordini
Italian Grand Prix,15,Alan Brown,Cooper
Italian Grand Prix,16,Stirling Moss,Connaught
Italian Grand Prix,17,Gino Bianco,Maserati
Italian Grand Prix,18,Jean Behra,Gordini
Italian Grand Prix,19,Mike Hawthorn,Cooper
Italian Grand Prix,20,Franco Rol,Maserati
Italian Grand Prix,21,Maurice Trintignant,Gordini
Italian Grand Prix,22,Kenneth McAlpine,Connaught
Italian Grand Prix,23,Rudi Fischer,Ferrari
Italian Grand Prix,24,Élie Bayol,OSCA
Italian Grand Prix,25,Charles de Tornaco,Ferrari
Italian Grand Prix,26,Alberto Crespo,Maserati
Italian Grand Prix,27,Toulo de Graffenried,Maserati
Italian Grand Prix,28,Peter Collins,HWM
Italian Grand Prix,29,Peter Whitehead,Ferrari
Italian Grand Prix,30,Tony Gaze,HWM
Italian Grand Prix,31,Bill Aston,Aston Butterworth
Italian Grand Prix,32,Lance Macklin,HWM
Italian Grand Prix,33,Hans von Stuck,Ferrari
Italian Grand Prix,34,Piero Dusio,Cisitalia
Italian Grand Prix,35,Johnny Claes,Simca
Argentine Grand Prix,1,Alberto Ascari,Ferrari
Argentine Grand Prix,2,Luigi Villoresi,Ferrari
Argentine Grand Prix,3,José Froilán González,Maserati
Argentine Grand Prix,4,Mike Hawthorn,Ferrari
Argentine Grand Prix,5,Oscar Gálvez,Maserati
Argentine Grand Prix,6,Jean Behra,Gordini
Argentine Grand Prix,7,Maurice Trintignant,Gordini
Argentine Grand Prix,7,Harry Schell,Gordini
Argentine Grand Prix,8,John Barber,Cooper
Argentine Grand Prix,9,Alan Brown,Cooper
Argentine Grand Prix,10,Robert Manzon,Gordini
Argentine Grand Prix,11,Juan Fangio,Maserati
Argentine Grand Prix,12,Felice Bonetto,Maserati
Argentine Grand Prix,13,Nino Farina,Ferrari
Argentine Grand Prix,14,Carlos Menditeguy,Gordini
Argentine Grand Prix,15,Pablo Birger,Simca
Argentine Grand Prix,16,Adolfo Cruz,Cooper
Indianapolis 500,1,Bill Vukovich,Kurtis Kraft
Indianapolis 500,2,Art Cross,Kurtis Kraft
Indianapolis 500,3,Sam Hanks,Kurtis Kraft
Indianapolis 500,3,Duane Carter,Kurtis Kraft
Indianapolis 500,4,Paul Russo,Kurtis Kraft
Indianapolis 500,4,Fred Agabashian,Kurtis Kraft
Indianapolis 500,5,Jack McGrath,Kurtis Kraft
Indianapolis 500,6,Jimmy Daywalt,Kurtis Kraft
Indianapolis 500,7,Jim Rathmann,Kurtis Kraft
Indianapolis 500,7,Eddie Johnson,Kurtis Kraft
Indianapolis 500,8,Ernie McCoy,Stevens
Indianapolis 500,9,Tony Bettenhausen,Kuzma
Indianapolis 500,9,Chuck Stevenson,Kuzma
Indianapolis 500,9,Gene Hartley,Kuzma
Indianapolis 500,10,Jimmy Davies,Kurtis Kraft
Indianapolis 500,11,Duke Nalon,Kurtis Kraft
Indianapolis 500,12,Carl Scarborough,Kurtis Kraft
Indianapolis 500,12,Bob Scott,Kurtis Kraft
Indianapolis 500,13,Manny Ayulo,Kuzma
Indianapolis 500,14,Jimmy Bryan,Schroeder
Indianapolis 500,15,Bill Holland,Kurtis Kraft
Indianapolis 500,15,Jim Rathmann,Kurtis Kraft
Indianapolis 500,16,Andy Linden,Kurtis Kraft
Indianapolis 500,16,Duke Dinsmore,Kurtis Kraft
Indianapolis 500,16,Rodger Ward,Kurtis Kraft
Indianapolis 500,17,Walt Faulkner,Kurtis Kraft
Indianapolis 500,17,Johnny Mantz,Kurtis Kraft
Indianapolis 500,18,Marshall Teague,Kurtis Kraft
Indianapolis 500,19,Travis Webb,Kurtis Kraft
Indianapolis 500,19,Johnny Thomson,Kurtis Kraft
Indianapolis 500,19,Jackie Holmes,Kurtis Kraft
Indianapolis 500,20,Bob Sweikert,Kuzma
Indianapolis 500,21,Mike Nazaruk,Turner
Indianapolis 500,22,Pat Flaherty,Kuzma
Indianapolis 500,23,Jerry Hoyt,Kurtis Kraft
Indianapolis 500,23,Chuck Stevenson,Kurtis Kraft
Indianapolis 500,23,Andy Linden,Kurtis Kraft
Indianapolis 500,24,Duane Carter,Lesovsky
Indianapolis 500,25,Paul Russo,Kurtis Kraft
Indianapolis 500,26,Johnnie Parsons,Kurtis Kraft
Indianapolis 500,27,Don Freeland,Watson
Indianapolis 500,28,Gene Hartley,Kurtis Kraft
Indianapolis 500,29,Chuck Stevenson,Kuzma
Indianapolis 500,30,Cal Niday,Kurtis Kraft
Indianapolis 500,31,Bob Scott,Bromme
Indianapolis 500,32,Johnny Thomson,Del Roy
Indianapolis 500,33,Andy Linden,Stevens
Dutch Grand Prix,1,Alberto Ascari,Ferrari
Dutch Grand Prix,2,Nino Farina,Ferrari
Dutch Grand Prix,3,Felice Bonetto,Maserati
Dutch Grand Prix,3,José Froilán González,Maserati
Dutch Grand Prix,4,Mike Hawthorn,Ferrari
Dutch Grand Prix,5,Toulo de Graffenried,Maserati
Dutch Grand Prix,6,Maurice Trintignant,Gordini
Dutch Grand Prix,7,Louis Rosier,Ferrari
Dutch Grand Prix,8,Peter Collins,HWM
Dutch Grand Prix,9,Stirling Moss,Connaught
Dutch Grand Prix,10,Luigi Villoresi,Ferrari
Dutch Grand Prix,11,Kenneth McAlpine,Connaught
Dutch Grand Prix,12,Harry Schell,Gordini
Dutch Grand Prix,13,Johnny Claes,Connaught
Dutch Grand Prix,14,Juan Fangio,Maserati
Dutch Grand Prix,15,Roberto Mieres,Gordini
Dutch Grand Prix,16,José Froilán González,Maserati
Dutch Grand Prix,17,Ken Wharton,Cooper
Dutch Grand Prix,18,Roy Salvadori,Connaught
Dutch Grand Prix,19,Lance Macklin,HWM
Belgian Grand Prix,1,Alberto Ascari,Ferrari
Belgian Grand Prix,2,Luigi Villoresi,Ferrari
Belgian Grand Prix,3,Onofre Marimón,Maserati
Belgian Grand Prix,4,Toulo de Graffenried,Maserati
Belgian Grand Prix,5,Maurice Trintignant,Gordini
Belgian Grand Prix,6,Mike Hawthorn,Ferrari
Belgian Grand Prix,7,Harry Schell,Gordini
Belgian Grand Prix,8,Louis Rosier,Ferrari
Belgian Grand Prix,9,Fred Wacker,Gordini
Belgian Grand Prix,10,Paul Frère,HWM
Belgian Grand Prix,11,André Pilette,Connaught
Belgian Grand Prix,12,Johnny Claes,Maserati
Belgian Grand Prix,12,Juan Fangio,Maserati
Belgian Grand Prix,13,Lance Macklin,HWM
Belgian Grand Prix,14,Nino Farina,Ferrari
Belgian Grand Prix,15,Juan Fangio,Maserati
Belgian Grand Prix,16,José Froilán González,Maserati
Belgian Grand Prix,17,Jean Behra,Gordini
Belgian Grand Prix,18,Peter Collins,HWM
Belgian Grand Prix,19,Georges Berger,Simca
Belgian Grand Prix,20,Arthur Legat,Veritas
French Grand Prix,1,Mike Hawthorn,Ferrari
French Grand Prix,2,Juan Fangio,Maserati
French Grand Prix,3,José Froilán González,Maserati
French Grand Prix,4,Alberto Ascari,Ferrari
French Grand Prix,5,Nino Farina,Ferrari
French Grand Prix,6,Luigi Villoresi,Ferrari
French Grand Prix,7,Toulo de Graffenried,Maserati
French Grand Prix,8,Louis Rosier,Ferrari
French Grand Prix,9,Onofre Marimón,Maserati
French Grand Prix,10,Jean Behra,Gordini
French Grand Prix,11,Bob Gerard,Cooper
French Grand Prix,12,Johnny Claes,Connaught
French Grand Prix,13,Peter Collins,HWM
French Grand Prix,14,Yves Cabantous,HWM
French Grand Prix,15,Louis Chiron,OSCA
French Grand Prix,16,Felice Bonetto,Maserati
French Grand Prix,17,Stirling Moss,Cooper
French Grand Prix,18,Prince Bira,Connaught
French Grand Prix,19,Élie Bayol,OSCA
French Grand Prix,20,Ken Wharton,Cooper
French Grand Prix,21,Maurice Trintignant,Gordini
French Grand Prix,22,Lance Macklin,HWM
French Grand Prix,23,Harry Schell,Gordini
French Grand Prix,24,Roberto Mieres,Gordini
French Grand Prix,25,Roy Salvadori,Connaught
British Grand Prix,1,Alberto Ascari,Ferrari
British Grand Prix,2,Juan Fangio,Maserati
British Grand Prix,3,Nino Farina,Ferrari
British Grand Prix,4,José Froilán González,Maserati
British Grand Prix,5,Mike Hawthorn,Ferrari
British Grand Prix,6,Felice Bonetto,Maserati
British Grand Prix,7,Prince Bira,Connaught
British Grand Prix,8,Ken Wharton,Cooper
British Grand Prix,9,Peter Whitehead,Cooper
British Grand Prix,10,Louis Rosier,Ferrari
British Grand Prix,11,Jimmy Stewart,Cooper
British Grand Prix,12,Tony Rolt,Connaught
British Grand Prix,13,Luigi Villoresi,Ferrari
British Grand Prix,14,Onofre Marimón,Maserati
British Grand Prix,15,Alan Brown,Cooper
British Grand Prix,16,Peter Collins,HWM
British Grand Prix,17,Jack Fairman,HWM
British Grand Prix,18,Roy Salvadori,Connaught
British Grand Prix,19,Toulo de Graffenried,Maserati
British Grand Prix,20,Lance Macklin,HWM
British Grand Prix,21,Jean Behra,Gordini
British Grand Prix,22,Ian Stewart,Connaught
British Grand Prix,23,Maurice Trintignant,Gordini
British Grand Prix,24,Duncan Hamilton,HWM
British Grand Prix,25,Harry Schell,Gordini
British Grand Prix,26,Kenneth McAlpine,Connaught
British Grand Prix,27,Tony Crook,Cooper
German Grand Prix,1,Nino Farina,Ferrari
German Grand Prix,2,Juan Fangio,Maserati
German Grand Prix,3,Mike Hawthorn,Ferrari
German Grand Prix,4,Felice Bonetto,Maserati
German Grand Prix,5,Toulo de Graffenried,Maserati
German Grand Prix,6,Stirling Moss,Cooper
German Grand Prix,7,Jacques Swaters,Ferrari
German Grand Prix,8,Alberto Ascari,Ferrari
German Grand Prix,8,Luigi Villoresi,Ferrari
German Grand Prix,9,Hans Herrmann,Veritas
German Grand Prix,10,Louis Rosier,Ferrari
German Grand Prix,11,Rodney Nuckey,Cooper
German Grand Prix,12,Theo Helfrich,Veritas
German Grand Prix,13,Kenneth McAlpine,Connaught
German Grand Prix,14,Rudolf Krause,BMW
German Grand Prix,15,Ernst Klodwig,BMW
German Grand Prix,16,Wolfgang Seidel,Veritas
German Grand Prix,17,Luigi Villoresi,Ferrari
German Grand Prix,17,Alberto Ascari,Ferrari
German Grand Prix,18,Alan Brown,Cooper
German Grand Prix,19,Onofre Marimón,Maserati
German Grand Prix,20,Edgar Barth,EMW
German Grand Prix,21,Johnny Claes,Connaught
German Grand Prix,22,Oswald Karch,Veritas
German Grand Prix,23,Willi Heeks,Veritas
German Grand Prix,24,Jean Behra,Gordini
German Grand Prix,25,Harry Schell,Gordini
German Grand Prix,26,Prince Bira,Connaught
German Grand Prix,27,Theo Fitzau,AFM
German Grand Prix,28,Kurt Adolff,Ferrari
German Grand Prix,29,Günther Bechem,AFM
German Grand Prix,30,Maurice Trintignant,Gordini
German Grand Prix,31,Roy Salvadori,Connaught
German Grand Prix,32,Erwin Bauer,Veritas
German Grand Prix,33,Hans von Stuck,AFM
German Grand Prix,34,Ernst Loof,Veritas
Swiss Grand Prix,1,Alberto Ascari,Ferrari
Swiss Grand Prix,2,Nino Farina,Ferrari
Swiss Grand Prix,3,Mike Hawthorn,Ferrari
Swiss Grand Prix,4,Juan Fangio,Maserati
Swiss Grand Prix,4,Felice Bonetto,Maserati
Swiss Grand Prix,5,Hermann Lang,Maserati
Swiss Grand Prix,6,Luigi Villoresi,Ferrari
Swiss Grand Prix,7,Ken Wharton,Cooper
Swiss Grand Prix,8,Max de Terra,Ferrari
Swiss Grand Prix,9,Albert Scherrer,HWM
Swiss Grand Prix,10,Chico Landi,Maserati
Swiss Grand Prix,11,Toulo de Graffenried,Maserati
Swiss Grand Prix,12,Onofre Marimón,Maserati
Swiss Grand Prix,13,Maurice Trintignant,Gordini
Swiss Grand Prix,14,Jean Behra,Gordini
Swiss Grand Prix,15,Felice Bonetto,Maserati
Swiss Grand Prix,15,Juan Fangio,Maserati
Swiss Grand Prix,16,Lance Macklin,HWM
Swiss Grand Prix,17,Peter Hirt,Ferrari
Swiss Grand Prix,18,Paul Frère,HWM
Swiss Grand Prix,19,Jacques Swaters,Ferrari
Swiss Grand Prix,20,Louis Rosier,Ferrari
Italian Grand Prix,1,Juan Fangio,Maserati
Italian Grand Prix,2,Nino Farina,Ferrari
Italian Grand Prix,3,Luigi Villoresi,Ferrari
Italian Grand Prix,4,Mike Hawthorn,Ferrari
Italian Grand Prix,5,Maurice Trintignant,Gordini
Italian Grand Prix,6,Roberto Mieres,Gordini
Italian Grand Prix,7,Sergio Mantovani,Maserati
Italian Grand Prix,7,Luigi Musso,Maserati
Italian Grand Prix,8,Umberto Maglioli,Ferrari
Italian Grand Prix,9,Harry Schell,Gordini
Italian Grand Prix,10,Louis Chiron,OSCA
Italian Grand Prix,11,Prince Bira,Maserati
Italian Grand Prix,12,Alan Brown,Cooper
Italian Grand Prix,13,Stirling Moss,Cooper
Italian Grand Prix,14,Hans von Stuck,AFM
Italian Grand Prix,15,Yves Cabantous,HWM
Italian Grand Prix,16,Louis Rosier,Ferrari
Italian Grand Prix,17,Alberto Ascari,Ferrari
Italian Grand Prix,18,Felice Bonetto,Maserati
Italian Grand Prix,19,Onofre Marimón,Maserati
Italian Grand Prix,20,Toulo de Graffenried,Maserati
Italian Grand Prix,21,Jack Fairman,Connaught
Italian Grand Prix,22,Ken Wharton,Cooper
Italian Grand Prix,23,Kenneth McAlpine,Connaught
Italian Grand Prix,24,Piero Carini,Ferrari
Italian Grand Prix,25,Roy Salvadori,Connaught
Italian Grand Prix,26,Chico Landi,Maserati
Italian Grand Prix,27,Élie Bayol,OSCA
Italian Grand Prix,28,John Fitch,HWM
Italian Grand Prix,29,Johnny Claes,Connaught
Italian Grand Prix,30,Lance Macklin,HWM
Argentine Grand Prix,1,Juan Fangio,Maserati
Argentine Grand Prix,2,Nino Farina,Ferrari
Argentine Grand Prix,3,José Froilán González,Ferrari
Argentine Grand Prix,4,Maurice Trintignant,Ferrari
Argentine Grand Prix,5,Élie Bayol,Gordini
Argentine Grand Prix,6,Harry Schell,Maserati
Argentine Grand Prix,7,Prince Bira,Maserati
Argentine Grand Prix,8,Toulo de Graffenried,Maserati
Argentine Grand Prix,9,Umberto Maglioli,Ferrari
Argentine Grand Prix,10,Jean Behra,Gordini
Argentine Grand Prix,11,Mike Hawthorn,Ferrari
Argentine Grand Prix,12,Onofre Marimón,Maserati
Argentine Grand Prix,13,Roberto Mieres,Maserati
Argentine Grand Prix,14,Roger Loyer,Gordini
Argentine Grand Prix,15,Jorge Daponte,Maserati
Argentine Grand Prix,16,Louis Rosier,Ferrari
Argentine Grand Prix,17,Luigi Musso,Maserati
Argentine Grand Prix,18,Carlos Menditeguy,Maserati
Indianapolis 500,1,Bill Vukovich,Kurtis Kraft
Indianapolis 500,2,Jimmy Bryan,Kuzma
Indianapolis 500,3,Jack McGrath,Kurtis Kraft
Indianapolis 500,4,Troy Ruttman,Kurtis Kraft
Indianapolis 500,4,Duane Carter,Kurtis Kraft
Indianapolis 500,5,Mike Nazaruk,Kurtis Kraft
Indianapolis 500,6,Fred Agabashian,Kurtis Kraft
Indianapolis 500,7,Don Freeland,Phillips
Indianapolis 500,8,Paul Russo,Kurtis Kraft
Indianapolis 500,8,Jerry Hoyt,Kurtis Kraft
Indianapolis 500,9,Larry Crockett,Kurtis Kraft
Indianapolis 500,10,Cal Niday,Stevens
Indianapolis 500,11,Art Cross,Kurtis Kraft
Indianapolis 500,11,Johnnie Parsons,Kurtis Kraft
Indianapolis 500,11,Sam Hanks,Kurtis Kraft
Indianapolis 500,11,Andy Linden,Kurtis Kraft
Indianapolis 500,11,Jimmy Davies,Kurtis Kraft
Indianapolis 500,12,Walt Faulkner,Kuzma
Indianapolis 500,12,Chuck Stevenson,Kuzma
Indianapolis 500,13,Manny Ayulo,Kuzma
Indianapolis 500,14,Bob Sweikert,Kurtis Kraft
Indianapolis 500,15,Duane Carter,Kurtis Kraft
Indianapolis 500,15,Marshall Teague,Kurtis Kraft
Indianapolis 500,15,Jimmy Jackson,Kurtis Kraft
Indianapolis 500,15,Tony Bettenhausen,Kurtis Kraft
Indianapolis 500,16,Ernie McCoy,Kurtis Kraft
Indianapolis 500,17,Jimmy Reece,Pankratz
Indianapolis 500,18,Ed Elisian,Stevens
Indianapolis 500,18,Bob Scott,Stevens
Indianapolis 500,19,George Fonder,Kurtis Kraft
Indianapolis 500,19,Frank Armi,Kurtis Kraft
Indianapolis 500,20,Sam Hanks,Kurtis Kraft
Indianapolis 500,20,Jimmy Davies,Kurtis Kraft
Indianapolis 500,20,Jim Rathmann,Kurtis Kraft
Indianapolis 500,21,Pat O'Connor,Kurtis Kraft
Indianapolis 500,22,Rodger Ward,Pawl
Indianapolis 500,22,Eddie Johnson,Pawl
Indianapolis 500,23,Marshall Teague,Kurtis Kraft
Indianapolis 500,23,Gene Hartley,Kurtis Kraft
Indianapolis 500,24,Johnny Thomson,Nichels
Indianapolis 500,24,Andy Linden,Nichels
Indianapolis 500,24,Jimmy Daywalt,Nichels
Indianapolis 500,25,Bob Scott,Schroeder
Indianapolis 500,25,Andy Linden,Schroeder
Indianapolis 500,26,Jerry Hoyt,Kurtis Kraft
Indianapolis 500,27,Jimmy Daywalt,Kurtis Kraft
Indianapolis 500,28,Jim Rathmann,Kurtis Kraft
Indianapolis 500,28,Pat Flaherty,Kurtis Kraft
Indianapolis 500,29,Tony Bettenhausen,Kurtis Kraft
Indianapolis 500,30,Travis Webb,Bromme
Indianapolis 500,30,Danny Kladis,Bromme
Indianapolis 500,31,George Fonder,Schroeder
Indianapolis 500,31,Len Duncan,Schroeder
Indianapolis 500,32,Johnnie Parsons,Kurtis Kraft
Indianapolis 500,33,Bill Homeier,Kurtis Kraft
Belgian Grand Prix,1,Juan Fangio,Maserati
Belgian Grand Prix,2,Maurice Trintignant,Ferrari
Belgian Grand Prix,3,Stirling Moss,Maserati
Belgian Grand Prix,4,José Froilán González,Ferrari
Belgian Grand Prix,4,Mike Hawthorn,Ferrari
Belgian Grand Prix,5,André Pilette,Gordini
Belgian Grand Prix,6,Prince Bira,Maserati
Belgian Grand Prix,7,Sergio Mantovani,Maserati
Belgian Grand Prix,8,Nino Farina,Ferrari
Belgian Grand Prix,9,Paul Frère,Gordini
Belgian Grand Prix,10,Jean Behra,Gordini
Belgian Grand Prix,11,Onofre Marimón,Maserati
Belgian Grand Prix,12,José Froilán González,Ferrari
Belgian Grand Prix,13,Jacques Swaters,Ferrari
Belgian Grand Prix,14,Roberto Mieres,Maserati
French Grand Prix,1,Juan Fangio,Mercedes
French Grand Prix,2,Karl Kling,Mercedes
French Grand Prix,3,Robert Manzon,Ferrari
French Grand Prix,4,Prince Bira,Maserati
French Grand Prix,5,Luigi Villoresi,Maserati
French Grand Prix,6,Jean Behra,Gordini
French Grand Prix,7,Paul Frère,Gordini
French Grand Prix,8,Maurice Trintignant,Ferrari
French Grand Prix,9,Louis Rosier,Ferrari
French Grand Prix,10,Onofre Marimón,Maserati
French Grand Prix,11,Roberto Mieres,Maserati
French Grand Prix,12,Ken Wharton,Maserati
French Grand Prix,13,Harry Schell,Maserati
French Grand Prix,14,Hans Herrmann,Mercedes
French Grand Prix,15,Roy Salvadori,Maserati
French Grand Prix,16,José Froilán González,Ferrari
French Grand Prix,17,Lance Macklin,HWM
French Grand Prix,18,Georges Berger,Gordini
French Grand Prix,19,Mike Hawthorn,Ferrari
French Grand Prix,20,Jacques Pollet,Gordini
French Grand Prix,21,Alberto Ascari,Maserati
French Grand Prix,22,Sergio Mantovani,Maserati
British Grand Prix,1,José Froilán González,Ferrari
British Grand Prix,2,Mike Hawthorn,Ferrari
British Grand Prix,3,Onofre Marimón,Maserati
British Grand Prix,4,Juan Fangio,Mercedes
British Grand Prix,5,Maurice Trintignant,Ferrari
British Grand Prix,6,Roberto Mieres,Maserati
British Grand Prix,7,Karl Kling,Mercedes
British Grand Prix,8,Ken Wharton,Maserati
British Grand Prix,9,André Pilette,Gordini
British Grand Prix,10,Bob Gerard,Cooper
British Grand Prix,11,Don Beauman,Connaught
British Grand Prix,12,Harry Schell,Maserati
British Grand Prix,13,Leslie Marr,Connaught
British Grand Prix,14,Leslie Thorne,Connaught
British Grand Prix,15,Horace Gould,Cooper
British Grand Prix,16,Stirling Moss,Maserati
British Grand Prix,17,Bill Whitehouse,Connaught
British Grand Prix,18,Jean Behra,Gordini
British Grand Prix,19,Roy Salvadori,Maserati
British Grand Prix,20,Prince Bira,Maserati
British Grand Prix,20,Ron Flockhart,Maserati
British Grand Prix,21,Alberto Ascari,Maserati
British Grand Prix,21,Luigi Villoresi,Maserati
British Grand Prix,22,John Riseley-Prichard,Connaught
British Grand Prix,23,Reg Parnell,Ferrari
British Grand Prix,24,Alberto Ascari,Maserati
British Grand Prix,25,Clemar Bucci,Gordini
British Grand Prix,26,Peter Collins,Vanwall
British Grand Prix,27,Robert Manzon,Ferrari
British Grand Prix,28,Peter Whitehead,Cooper
British Grand Prix,29,Eric Brandon,Cooper
British Grand Prix,30,Louis Rosier,Ferrari
British Grand Prix,31,Alan Brown,Cooper
British Grand Prix,32,Rodney Nuckey,Cooper
German Grand Prix,1,Juan Fangio,Mercedes
German Grand Prix,2,José Froilán González,Ferrari
German Grand Prix,2,Mike Hawthorn,Ferrari
German Grand Prix,3,Maurice Trintignant,Ferrari
German Grand Prix,4,Karl Kling,Mercedes
German Grand Prix,5,Sergio Mantovani,Maserati
German Grand Prix,6,Piero Taruffi,Ferrari
German Grand Prix,7,Harry Schell,Maserati
German Grand Prix,8,Louis Rosier,Ferrari
German Grand Prix,9,Robert Manzon,Ferrari
German Grand Prix,10,Jean Behra,Gordini
German Grand Prix,11,Prince Bira,Maserati
German Grand Prix,12,Hermann Lang,Mercedes
German Grand Prix,13,Clemar Bucci,Gordini
German Grand Prix,14,Theo Helfrich,Klenk
German Grand Prix,15,Hans Herrmann,Mercedes
German Grand Prix,16,Paul Frère,Gordini
German Grand Prix,17,Mike Hawthorn,Ferrari
German Grand Prix,18,Roberto Mieres,Maserati
German Grand Prix,19,Stirling Moss,Maserati
German Grand Prix,20,André Pilette,Gordini
German Grand Prix,21,Onofre Marimón,Maserati
German Grand Prix,22,Luigi Villoresi,Maserati
German Grand Prix,23,Ken Wharton,Maserati
Swiss Grand Prix,1,Juan Fangio,Mercedes
Swiss Grand Prix,2,José Froilán González,Ferrari
Swiss Grand Prix,3,Hans Herrmann,Mercedes
Swiss Grand Prix,4,Roberto Mieres,Maserati
Swiss Grand Prix,5,Sergio Mantovani,Maserati
Swiss Grand Prix,6,Ken Wharton,Maserati
Swiss Grand Prix,7,Umberto Maglioli,Ferrari
Swiss Grand Prix,8,Jacques Swaters,Ferrari
Swiss Grand Prix,9,Karl Kling,Mercedes
Swiss Grand Prix,10,Maurice Trintignant,Ferrari
Swiss Grand Prix,11,Mike Hawthorn,Ferrari
Swiss Grand Prix,12,Harry Schell,Maserati
Swiss Grand Prix,13,Stirling Moss,Maserati
Swiss Grand Prix,14,Fred Wacker,Gordini
Swiss Grand Prix,15,Jean Behra,Gordini
Swiss Grand Prix,16,Clemar Bucci,Gordini
Swiss Grand Prix,17,Robert Manzon,Ferrari
Italian Grand Prix,1,Juan Fangio,Mercedes
Italian Grand Prix,2,Mike Hawthorn,Ferrari
Italian Grand Prix,3,Umberto Maglioli,Ferrari
Italian Grand Prix,3,José Froilán González,Ferrari
Italian Grand Prix,4,Hans Herrmann,Mercedes
Italian Grand Prix,5,Maurice Trintignant,Ferrari
Italian Grand Prix,6,Fred Wacker,Gordini
Italian Grand Prix,7,Peter Collins,Vanwall
Italian Grand Prix,8,Louis Rosier,Maserati
Italian Grand Prix,9,Sergio Mantovani,Maserati
Italian Grand Prix,10,Stirling Moss,Maserati
Italian Grand Prix,11,Jorge Daponte,Maserati
Italian Grand Prix,12,Alberto Ascari,Ferrari
Italian Grand Prix,13,Luigi Villoresi,Maserati
Italian Grand Prix,14,Karl Kling,Mercedes
